,index,Escola,UF,Município,Endereço
44,73287,ESCOLA MUNICIPAL DEPUTADO JUAREZ DE SOUZA,BA,Barreiras,"PRACA JOAQUIM NETO, S/N VILA BRASIL. 47801-028 Barreiras - BA."
45,73288,ESCOLA MUNICIPAL DOMINGOS MARMORE,BA,Barreiras,"FAZ LIBERDADE, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
46,73289,ESCOLA MUNICIPAL DR RENATO GONCALVES,BA,Barreiras,"RUA BOA VISTA, 09 BARREIRINHAS. 47810-560 Barreiras - BA."
47,73290,ESCOLA MUNICIPAL LAR FELIZ,BA,Barreiras,"POVOADO CONQUISTA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
48,73291,ESCOLA MUNICIPAL SALUSTIANO AYRES,BA,Barreiras,"POV RIO DE ONDAS, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
49,73292,ESCOLA MUNICIPAL JOSE CARDOSO DE LIMA - INEP 29001269,BA,Luís Eduardo Magalhães,"PARAIBA, 397 QD F L9. CENTRO. 47850-000 Luís Eduardo Magalhães - BA."
50,73293,ESCOLA MUNICIPAL MONTEIRO LOBATO,BA,Barreiras,"POV CAMPO ERE, POV CAMPO ERE. AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
51,73294,ESCOLA MUNICIPAL DO PARQUE,BA,Barreiras,"PARQUE DE EXPOSICAO GERALDO ROCHA, BARREIRINHAS. 47800-970 Barreiras - BA."
52,73295,ESCOLA MUNICIPAL IMACULADA CONCEICAO,BA,Barreiras,"FAZ MUCAMBINHO, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
53,73296,ESCOLA MUNICIPAL ONERO COSTA DA ROSA - INEP 29001358,BA,Luís Eduardo Magalhães,"JOAO DOURADO, 230 QD 75. CIDADE SANTA CRUZ. 47850-000 Luís Eduardo Magalhães - BA."
54,73297,ESCOLA MUNICIPAL ANTONIO JOAQUIM ALBERNAZ,BA,Barreiras,"VEREDA DAS LAGES, RUALR. 47800-970 Barreiras - BA."
55,73298,ESCOLA MUNICIPAL LUIZ DE FREITAS LIMA,BA,Barreiras,"PRACA ANACLETO NEPOMUCENO ALVES, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
56,73299,ESCOLA MUNICIPAL DR ABILIO FARIAS,BA,Barreiras,"AREA RURAL, POVOADO MUCAMBO DE BAIXO. 47819-899 Barreiras - BA."
57,73300,EE - COLEGIO ESTADUAL PROFESSOR ALEXANDRE LEAL COSTA,BA,Barreiras,"R. RUA CERONEL MAGNO, 533 CENTRO. 47800-010 Barreiras - BA."
58,73301,ESCOLA RURAL MUNICIPAL SAO PAULO,BA,Luís Eduardo Magalhães,"RUA PINHEIROS, 167 CAIXA POSTAL 1201. NOVO PARANA. 47850-000 Luís Eduardo Magalhães - BA."
59,73302,ESCOLA MUNICIPAL SANTA RAFAELA MARIA,BA,Barreiras,"RUA SANTA RAFAELA, 65 VILA RICA. 47813-090 Barreiras - BA."
60,73303,ESCOLA MUNICIPAL SAO JOAO - SUCURIU,BA,Barreiras,"POV SUCURIU, 47800-970 Barreiras - BA."
61,73304,ESCOLA MUNICIPAL SAO JOSE - CTI,BA,Barreiras,"POV SAO JOSE CTI, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
62,73305,ESCOLA MUNICIPAL SENHOR DOS AFLITOS,BA,Barreiras,"POV CANTINHO SENHOR DOS AFLITOS, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
63,73306,ESCOLA MUNICIPAL VEREADOR EUDILTON MIRANDA,BA,Barreiras,"AVENIDA JARDIM DA SAUDADE, S/N VILA NOVA. 47800-672 Barreiras - BA."
64,73307,ESCOLA MUNICIPAL MIGUEL PEREIRA GOMES,BA,Barreiras,"POVOADO TATU, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
65,73308,EE - COLEGIO ESTADUAL PRISCO VIANA,BA,Barreiras,"RUA PEDRO DOURADO, SN JK. 47801-350 Barreiras - BA."
66,73309,ESCOLA FABIO JOHNER,BA,Luís Eduardo Magalhães,"BELA VISTA, ZONA RURAL. 47850-000 Luís Eduardo Magalhães - BA."
67,73310,ESCOLA MUNICIPAL SANTO ANTONIO,BA,Barreiras,"FAZ SANTA CRUZ, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
68,73311,ESCOLA MUNICIPAL ANTONIO MACHADO,BA,Barreiras,"POVOADO VAU DO TEIU, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
69,73312,ESCOLA MUNICIPAL PROFª CAMERINA DIAS MELO,BA,Barreiras,"ARRAIAL DA PENHA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
70,73313,ESCOLA MUNICIPAL BOA SORTE,BA,Barreiras,"BOQUEIRAO DO JUSTINO, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
71,73314,ESCOLA MUNICIPAL ANTONIO BENTO DE FREITAS,BA,Barreiras,"RUA E, CASCALHEIRA. 47800-970 Barreiras - BA."
72,73315,ESCOLA MUNICIPAL DUQUE DE CAXIAS,BA,Barreiras,"POV BEZERRO, POVOADO BEZERRO. AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
73,73316,ESCOLA MUNICIPAL IAZINHA PAMPLONA,BA,Barreiras,"RUA NEZINHO PAMPLONA, 693 JARDIM OURO BRANCO. 47802-300 Barreiras - BA."
74,73317,ESCOLA MUNICIPAL OTTOMAR SCHWENGBER - INEP 29002028,BA,Luís Eduardo Magalhães,"PERNAMBUCO, 1241 QD 130. MIMOSO I. 47850-000 Luís Eduardo Magalhães - BA."
75,73318,ESCOLA MUNICIPAL PROFESSORA CLEONICE LOPES,BA,Barreiras,"RUA COSTA RICA, S/N VILA RICA. 47813-060 Barreiras - BA."
76,73319,ESCOLA MUNICIPAL SAGRADO CORACAO DE MARIA,BA,Barreiras,"POVO ALT DA BELA VISTA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
77,73320,ESCOLA MUNICIPAL SANTO ANTONIO - TABUA,BA,Barreiras,"TABUADA AGUA VERMELHA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
78,73321,ESCOLA MUNICIPAL SANTA LUCIA,BA,Barreiras,"POV MATA DA CACHOEIRA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
79,73322,ESCOLA MUNICIPAL SAO FRANCISCO,BA,Luís Eduardo Magalhães,"VILA BURITI, ZONA RURAL. 47850-000 Luís Eduardo Magalhães - BA."
80,73323,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS,BA,Barreiras,"RUA JOAO PAULO II, S/N VILA AMORIM. 47813-508 Barreiras - BA."
81,73324,ESCOLA MUNICIPAL SAO JOAO - BARROCAO,BA,Barreiras,"BARROCAO DE CIMA, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
82,73325,ESCOLA MUNICIPAL SAO JOAO - POV RIACHINHO,BA,Barreiras,"POVOADO RIACHINHO, AREA RURAL DE BARREIRAS. 47819-899 Barreiras - BA."
83,73326,CENTRO COMUNITARIO SAO PEDRO,BA,Barreiras,"RUA NUNES, 106 SAO PEDRO. 47810-810 Barreiras - BA."
84,73327,ESCOLA MUNICIPAL PRESIDENTE MEDICI,BA,Barreiras,"GRANDE USUARIO RUA MARECHAL DEODORO 687, 575 CENTRO. 47800-904 Barreiras - BA."
85,73328,EE - COLEGIO ESTADUAL NOSSA SENHORA DA PENHA,BA,Catolândia,"R. RUA JURACY DE LIMA PINTO, CENTRO. 47845-000 Catolândia - BA."
86,73329,ESCOLA NORMAL MUNICIPAL NOSSA SENHORA DA PENHA,BA,Catolândia,"RUA A LOTEAMENTO SANTANA, S/Nº PREDIO ESCOLAR. CENTRO. 47845-000 Catolândia - BA."
87,73330,ESCOLA SAO FRANCISCO,BA,Catolândia,"POVOADO DE BARRIGUDA, S/Nº PREDIO. ZONA RURAL. 47845-000 Catolândia - BA."
88,73331,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SAO PEDRO,BA,Catolândia,"POVOADO DE CAPIVARA, S/Nº PREDIO ESCOLAR. ZONA RURAL. 47845-000 Catolândia - BA."
89,73332,ESCOLA DE 1º GRAU SAO MIGUEL,BA,Catolândia,"POVOADO DE MOZONDO, S/Nº PREDIO ESCOLAR. ZONA RURAL. 47845-000 Catolândia - BA."
90,73333,COLEGIO MUNICIPAL CORACAO DE JESUS,BA,Formosa do Rio Preto,"RUA DO CRUZEIRO, 419 PREDIO. CENTRO. 47990-000 Formosa do Rio Preto - BA."
91,73334,ESCOLA MUNICIPAL ALVARES DE AZEVEDO,BA,Formosa do Rio Preto,"POVOADO DO ARROZ DE BAIXO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
92,73335,COLEGIO MUNICIPAL CORONEL FRANCISCO ANGELO,BA,Formosa do Rio Preto,"POVOADO DE CANABRAVA, SN PREDIO ESCOLAR. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
93,73336,ESCOLA MUNICIPAL SANTANA,BA,Formosa do Rio Preto,"POVOADO DA SANTANA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
94,73337,ESCOLA MUNICIPAL D PEDRO I,BA,Formosa do Rio Preto,"POVOADO DO OURO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
95,73338,ESCOLA MUNICIPAL D PEDRO II,BA,Formosa do Rio Preto,"POVOADO DO MATO GROSSO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
96,73339,ESCOLA MUNICIPAL ELIEZER RABELLO SANTIAGO,BA,Formosa do Rio Preto,"RUA FRANCISCO ALENCAR, 619 PREDIO. PROJETO. 47990-000 Formosa do Rio Preto - BA."
97,73340,ESCOLA MUNICIPAL DUQUE DE CAXIAS,BA,Formosa do Rio Preto,"POVOADO DA SANTANA DA MALAHDINHA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
98,73341,ESCOLA MUNICIPAL DE 1 GRAU DR LUIZ VIANA FILHO,BA,Formosa do Rio Preto,"RUA DO CRUZEIRO, 461 PREDIO. CENTRO. 47990-000 Formosa do Rio Preto - BA."
99,73342,ESCOLA MUNICIPAL FELIPE CAMARAO,BA,Formosa do Rio Preto,"POVOADO DA CARAIBAS DO ROCHEDO, ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
100,73343,ESCOLA MUNICIPAL GONCALVES LEDO,BA,Formosa do Rio Preto,"POVOADO DO SUCURIU DE FORA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
101,73344,ESCOLA MUNICIPAL GOVERNADOR JOSE MARCELINO,BA,Formosa do Rio Preto,"POVOADO DO SAO MARCELO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
102,73345,ESCOLA MUNICIPAL JOSE RIBEIRO,BA,Formosa do Rio Preto,"POVOADO DO PORTO LIMPO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
103,73346,ESCOLA MUNICIPAL MARECHAL CASTELO BRANCO,BA,Formosa do Rio Preto,"POVOADO DAS CARAIBAS GRANDE, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
104,73347,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,BA,Formosa do Rio Preto,"LOCALIDADE DAS CABECEIRAS, ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
105,73348,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,BA,Formosa do Rio Preto,"POVOADO DA PASSAGEM DA AREIA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
106,73349,ESCOLA MUNICIPAL OLAVO BILAC,BA,Formosa do Rio Preto,"POVOADO DOS MORRINHOS, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
107,73350,ESCOLA MUNICIPAL PAULO VI,BA,Formosa do Rio Preto,"LOCALIDADE DE RIACHAO DO OURO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
108,73351,ESCOLA MUNICIPAL PRESIDENTE COSTA E SILVA,BA,Formosa do Rio Preto,"POVOADO DO AROZ DE CIMA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
109,73352,ESCOLA MUNICIPAL AGUAS CLARAS,BA,Formosa do Rio Preto,"POVOADO DA COACERAL, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
110,73353,ESCOLA MUNICIPAL RUI BARBOSA,BA,Formosa do Rio Preto,"POVOADO DO OURO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
111,73354,ESCOLA MUNICIPAL SAO JOSE,BA,Formosa do Rio Preto,"POVOADO DA INHUMAS, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
112,73355,ESCOLA MUNICIPAL SAO VICENTE DE PAULA,BA,Formosa do Rio Preto,"POVOADO DA CAUAN, SN PERDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
113,73356,ESCOLA MUNICIPAL SANTA BERNADETE,BA,Formosa do Rio Preto,"LOCALIDADE DA PITOMBEIRA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
114,73357,ESCOLA MUNICIPAL SUCURIENSE,BA,Formosa do Rio Preto,"POVOADO DO SUCURIU DE DENTRO, ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
115,73358,ESCOLA MUNICIPAL TEIXEIRA DE FREITAS,BA,Formosa do Rio Preto,"LOCALIDADE DA VAZANTE, ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
116,73359,ESCOLA MUNICIPAL TIRADENTES,BA,Formosa do Rio Preto,"POVOADO DO PINTO, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
117,73360,ESCOLA MUNICIPAL VIRGEM DE FATIMA,BA,Formosa do Rio Preto,"POVOADO DA MALHADINHA, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
118,73361,ESCOLA MUNICIPAL DR LUIZ VIANA FILHO,BA,Formosa do Rio Preto,"POVOADO DA INTANS, S/N PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
119,73362,ESCOLA MUNICIPAL DOIS DE JULHO,BA,Formosa do Rio Preto,"POVOADO DAS TABUAS, SN PREDIO. ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
120,73363,ESCOLA MUNICIPAL JOSE RIBEIRO,BA,Formosa do Rio Preto,"POVOADO DE OLHOS DAGUA DE DALU, ZONA RURAL. 47990-000 Formosa do Rio Preto - BA."
121,73364,ESCOLA MUNICIPAL DE 1º GRAU CANDIDO CHRISOSTOMO DA SILVA,BA,Riachão das Neves,"PRACA SANTANA, SN PREDIO. CENTRO. 47970-000 Riachão das Neves - BA."
122,73365,GRUPO ESCOLAR CASTRO ALVES II,BA,Riachão das Neves,"ZONA RUAL, 47970-000 Riachão das Neves - BA."
123,73366,ESCOLA ESTADUAL DE 1º GRAU CORONEL FRANCISCO MACEDO,BA,Riachão das Neves,"AVENIDA CORONEL FRANCISCO MACEDO, SN PREDIO. CENTRO. 47970-000 Riachão das Neves - BA."
124,73367,ESCOLA ESTADUAL DE 1 GRAU NELSON CARVALHO DA CUNHA,BA,Riachão das Neves,"RUA QUINTINHO CARVALHO DA CUNHA, SN PREDIO. CENTRO. 47970-000 Riachão das Neves - BA."
125,73368,ESCOLA MUNICIPAL GREGORIO DIAS DOS SANTOS,BA,Riachão das Neves,"POVOADO DE MALHADA DE AREIA, SN RURAL. POVOADO. 47970-000 Riachão das Neves - BA."
126,73369,ESCOLA MUNICIPAL ANTONIO XAVIER DE OLIVEIRA,BA,Riachão das Neves,"BARREIRINHO, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
127,73370,ESCOLA MUNICIPAL DR CLERISTON ANDRADE,BA,Riachão das Neves,"RURAL, PREDIO. RURAL. 47970-000 Riachão das Neves - BA."
128,73371,GRUPO ESCOLAR CASTRO ALVES III,BA,Riachão das Neves,"RURAL, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
129,73372,ESCOLA MUNICIPAL CARDOSO NUNES,BA,Riachão das Neves,"ZONA RURAL, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
130,73373,ESCOLA MUNICIPAL DEMOSTENES TORRES,BA,Riachão das Neves,"ASSENTAMENTO RIO BRANCO, 142 LOTE. ZONA RURAL. 47970-000 Riachão das Neves - BA."
131,73374,GRUPO ESCOLAR JOSE PEREIRA SERPA,BA,Riachão das Neves,"FAZENDA BOA VIDA, SN CASA. RURAL. 47970-000 Riachão das Neves - BA."
132,73375,ESCOLA MUNICIPAL PALMIRA FARIAS,BA,Riachão das Neves,"FAZENDA ANGICAL GERAIS, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
133,73376,ESCOLA MUNICIPAL CANTINHO DA ALEGRIA I E II,BA,Riachão das Neves,"RURAL, SN PREDIO. RURAL. 47970-000 Riachão das Neves - BA."
134,73377,GRUPO ESCOLAR BERTINO CARVALHO DA CUNHA,BA,Riachão das Neves,"POVOADO DE MAO QUEBRADA, SN CASA. RURAL. 47970-000 Riachão das Neves - BA."
135,73378,GRUPO ESCOLAR EMILIA DA CUNHA MUNIZ,BA,Riachão das Neves,"POVOADO DE GAMELERINHA, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
136,73379,GRUPO ESCOLAR JOSE CABOCLO FRANCISCO DOS REIS,BA,Riachão das Neves,"ENTRONCAMENTO, SEM NUMERO DISTRITO. ZONA RURAL. 47970-000 Riachão das Neves - BA."
137,73380,GRUPO ESCOLAR MANOEL EDUARDO DE SOUZA,BA,Riachão das Neves,"POVOADO DE BARRINHA, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
138,73381,ESCOLA MUNICIPAL JOSE BERNARDINO DE SANTANA,BA,Riachão das Neves,"POVOADO DE BARRA DO RIACHO, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
139,73382,GRUPO ESCOLAR JOAO GALDINO DOS SANTOS,BA,Riachão das Neves,"POVOADO DE CAMPO AZUL, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
140,73383,GRUPO ESCOLAR MATIAS PEREIRA DE LACERDA,BA,Riachão das Neves,"POVOADO DE BARRIGUDA, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
141,73384,ESCOLA MUNICIPAL RAIMUNDO GONCALVES DE SANTANA,BA,Riachão das Neves,"FAZENDA ANGICO GERAIS, CASA. RURAL. 47970-000 Riachão das Neves - BA."
142,73385,GRUPO ESCOLAR NEY FERREIRA,BA,Riachão das Neves,"RUA PRINCIPAL DO POVOADO DE PRAZERES, SN RURAL. ZONA RURAL. 47970-000 Riachão das Neves - BA."
143,73386,GRUPO ESCOLAR SEBASTIAO ALVES DE CARVALHO,BA,Riachão das Neves,"POVOADO CANUDOS, SN ZONA RURAL. 47970-000 Riachão das Neves - BA."
144,73387,GRUPO ESCOLAR RUY AVELINO PACHECO,BA,Riachão das Neves,"RURAL, SN PREDIO. RURAL. 47970-000 Riachão das Neves - BA."
145,73388,GRUPO ESCOLAR ANTONIO ALVES NOGUEIRA,BA,Riachão das Neves,"RURAL, SN PREDIO. RURAL. 47970-000 Riachão das Neves - BA."
146,73389,GRUPO ESCOLAR ANTONIO FERREIRA DA ROCHA,BA,Riachão das Neves,"POVOADO DE UMBUZEIRO, SN CASA. RURAL. 47970-000 Riachão das Neves - BA."
147,73390,GRUPO ESCOLAR BALDUINO JOSE GREGORIO,BA,Riachão das Neves,"POVOADO DE CAPIM GROSSO, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
148,73391,GRUPO ESCOLAR CANDIDA FERREIRA BORGES,BA,Riachão das Neves,"POVOADO DE PILOES, SN RURAL. RURAL. 47970-000 Riachão das Neves - BA."
149,73392,ESCOLA MUNICIPAL HERCILIO NETTO DA FRANCA,BA,Riachão das Neves,"DISTRITO DE SAO JOSE DO RIO GRANDE, SN ESCOLA. ZONA RURAL. 47970-000 Riachão das Neves - BA."
150,73393,GRUPO ESCOLAR JOAO RODRIGUES BARBOSA,BA,Riachão das Neves,"POVOADO DE NEVES, RURAL. RURAL. 47970-000 Riachão das Neves - BA."
